City,weather_description,avg_temperature,avg_humidity,avg_pressure,total_records
"Kansas City","thunderstorm with light rain",301.42333333333335,69.33333333333333,1009.3333333333334,6
"Kansas City","moderate rain",301.5997394485374,71.58208955223881,1021.9253731343283,67
"Kansas City",thunderstorm,302.526,65.46666666666667,1013.6,15
"Kansas City",haze,302.36968749999994,58.125,1014.75,32
"Kansas City","proximity thunderstorm",302.3551351351352,65.05405405405405,1014.1621621621622,37
"Kansas City","thunderstorm with heavy rain",302.33000000000004,66,1011,2
Minneapolis,"scattered clouds",301.7737872761582,50.13975155279503,1013.0962732919255,322
Minneapolis,"sky is clear",302.0662661481247,52.85735294117647,1012.8470588235294,680
Minneapolis,"few clouds",302.443403413086,50.079754601226995,1013.1963190184049,163
Minneapolis,"light rain",301.3274532704183,61.78181818181818,1010.4363636363636,55
Minneapolis,"heavy intensity rain",301.29825082923077,84.46153846153847,1017.2307692307693,13
Minneapolis,"broken clouds",301.6286964411428,53.16931216931217,1013.2063492063492,189
Minneapolis,haze,301.2547368421052,60.1578947368421,1011.0526315789474,19
Minneapolis,"moderate rain",301.6613897849354,69.2258064516129,1015.4516129032259,31
Minneapolis,"thunderstorm with heavy rain",300.96,93,1005,1
Minneapolis,"overcast clouds",301.3748571428572,61.8,1010.0285714285715,35
Minneapolis,"proximity thunderstorm",301.6942857142857,58.666666666666664,1008.4761904761905,21
Minneapolis,thunderstorm,302.40999999999997,55,1010,4
Minneapolis,"very heavy rain",302.11,59,1003,1
Minneapolis,"thunderstorm with light rain",301.7,62,1001,1
"Saint Louis","sky is clear",303.0842605434135,59.03292528493035,1015.3152627189324,2399
"Saint Louis","scattered clouds",302.86124372786435,59.310580204778155,1015.8010033444816,598
"Saint Louis","overcast clouds",301.89216384180514,62.43689320388349,1013.2241379310345,118
"Saint Louis","broken clouds",302.3871671263827,57.64040404040404,1015.5533596837945,507
"Saint Louis","few clouds",303.2947305314941,57.182370820668694,1016.4781297134239,664
"Saint Louis","proximity thunderstorm",302.84578125,63.859375,1013.15625,64
"Saint Louis","light rain",301.8632782871395,67.97156398104265,1016.3953488372093,215
"Saint Louis",thunderstorm,303.3592857142857,62.5,1013.5,28
"Saint Louis",haze,302.54756097560977,58.36585365853659,1015.6829268292682,41
